video_id,title,published,viewCount,likeCount,dislikeCount
bW8KLgB0Sgw,"노래가 너무 좋다면, 전체곡 감상 ㄱㄱ~",2025-06-26,1019,0,0
E9pXLOjST8o,8090 레트로 감성 시티팝! 전체곡으로 감상해보세요.,2025-06-24,361,1,0
tBcdtQa81pw,"익숙한 멜로디의 감성과 감동, 전체곡으로 들어보세요.",2025-06-24,236,0,0
CdZAIe3Oelo,한국 레트로 시티팝! 지금 바로 클릭! 8090 노래,2025-06-24,371,0,0
DpxZzuUW0D4,응답하라!! 잊고 지낸 나의 감성! 지금 바로 들어보세요 | 8090 한국 가요 | 80s–90s Korean pop music,2025-06-23,50,0,0
faAb6nl63M8,다시듣는! 그 시절 감성! [여가수 모음집] | 가요TOP20 | 80~90년대 감성 한국 가요 모음 | Korean Ballads 80s90s,2025-06-23,663,9,0
e9KqadaBDxE,계속 듣고 싶다면~ 지금 바로 클릭!! 지금 바로 들어보세요 | 8090 한국 가요 | 80s–90s Korean pop music,2025-06-23,360,0,0
her-CVw2n54,"어! 내 취향이다! 생각되면~!, 지금 바로 클릭! | 8090 한국 가요 | 80s–90s Korean pop music",2025-06-23,189,0,0
5ELK8AKxUWs,[여가수 모음집] 그날의 기억을 떠올리게 하는 노래 모음집! 한국 가요 20곡 | 8090 한국 가요 | 80s–90s Korean pop music,2025-06-23,130,0,0
ym7tvqNB8ZU,노래가 좋았다면~! 지금 바로 클릭!! 지금 바로 들어보세요 | 8090 한국 가요 | 80s–90s Korean pop music,2025-06-23,314,0,0
1MwvmXG-xFA,이 노래가 계속 듣고 싶다면~ 지금 바로 들어보세요! | 8090 한국 가요 | 80s–90s Korean pop music,2025-06-23,213,0,0
qUe55YuAsYk,여름 바다 배경영상으로 힐링되는 음악 모음!! 🌊🎧카페에서 듣기 좋은 음악 #23,2025-06-23,114,0,0
JYHetQy2XUk,이 노래가 마음을 울렸다면~ 지금 바로 클릭하세요! | 8090 한국 가요 | 80s–90s Korean pop music,2025-06-23,440,0,0
ypRSp3ffyGE,내가 찾던 가요라면? 지금 바로 클릭! 예전 감성 그대로 | 8090 한국 가요 | 80s–90s Korean pop music,2025-06-23,505,0,0
w7MDMcOkWxo,[여가수 모음집] 잔잔한 감동을 드립니다! 들어보세요~! 한국 가요 20곡 | 8090 한국 가요 | 80s–90s Korean pop music,2025-06-23,281,0,0
A5hYcyy58O4,카세트 감성 그노래가 듣고 싶다면 클릭! 한국 가요 20곡 | 8090 한국 가요 | 80s–90s Korean pop music,2025-06-22,436,1,0
QYdwhnJy0RE,2025 최신곡 창고 대 방출 중!! 지금 바로 들어보세요 | 8090 한국 가요 | 80s–90s Korean pop music,2025-06-21,357,0,0
YZZbjl1QOuw,"8090 감성 가요 창고 방출 중 !!! 옛 추억을 떠올리는 노래 모음, 8090 대중 가요 | 8090 한국 가요 | 80s–90s Korean pop music",2025-06-21,638,0,0
SdM8d6k3_k0,"8090 가요 창고 방출 중 !!! 지금 바로 들어보세요, 8090 대중 가요 | 8090 한국 가요 | 80s–90s Korean pop music",2025-06-21,584,0,0
CfIQKRihSfs,"비오는 밤에 들으면 더 감성적인 8090 대중 가요, 카세트 테잎 감",2025-06-20,295,0,0
Vk2XHAWN2Q4,여유를 부리고 싶을때~ 재즈 연주 카페 음악 Vol. 31+32 | 1 Hour Relaxing 🎷Jazz Instrumentals | Healing Cafe Music☕,2025-06-20,83,3,0
y-xQuNpQI18,그대를 찾아 헤매던 그 노래! 한국 가요 20곡 | 8090 한국 가요 | 80s–90s Korean pop music,2025-06-19,103,0,0
